Date,Teams_elo,From,To,Team_Full_Name
23-03-2018,1693,23-03-2018,23-03-2018,Russia
23-03-2018,1997,23-03-2018,23-03-2018,Portugal
23-03-2018,1826,23-03-2018,23-03-2018,Poland
23-03-2018,1896,23-03-2018,23-03-2018,Peru
23-03-2018,2104,23-03-2018,23-03-2018,Germany
23-03-2018,1654,23-03-2018,23-03-2018,Greece
23-03-2018,1257,23-03-2018,23-03-2018,Guadeloupe
23-03-2018,1594,23-03-2018,23-03-2018,Hungary
23-03-2018,1601,23-03-2018,23-03-2018,Norway
23-03-2018,1870,23-03-2018,23-03-2018,Mexico
23-03-2018,1879,23-03-2018,23-03-2018,Uruguay
23-03-2018,1703,23-03-2018,23-03-2018,Morocco
23-03-2018,1883,23-03-2018,23-03-2018,Netherlands
23-03-2018,1975,23-03-2018,23-03-2018,France
23-03-2018,1996,23-03-2018,23-03-2018,Argentina
23-03-2018,1719,23-03-2018,23-03-2018,Austria
23-03-2018,1388,23-03-2018,23-03-2018,Azerbaijan
23-03-2018,1610,23-03-2018,23-03-2018,Bulgaria
23-03-2018,1276,23-03-2018,23-03-2018,Curaçao
23-03-2018,1413,23-03-2018,23-03-2018,Cyprus
23-03-2018,1600,23-03-2018,23-03-2018,Finland
23-03-2018,1276,23-03-2018,23-03-2018,Gambia
24-03-2018,1492,24-03-2018,24-03-2018,Georgia
24-03-2018,1526,24-03-2018,24-03-2018,Israel
24-03-2018,1454,24-03-2018,24-03-2018,Guinea
24-03-2018,1597,24-03-2018,24-03-2018,Ivory coast
24-03-2018,1389,24-03-2018,24-03-2018,Kenya
24-03-2018,1380,24-03-2018,24-03-2018,Kosovo
24-03-2018,1605,24-03-2018,24-03-2018,Syria
24-03-2018,1684,24-03-2018,24-03-2018,Northern Ireland
24-03-2018,1492,24-03-2018,24-03-2018,Qatar
24-03-2018,1534,24-03-2018,24-03-2018,Canada
24-03-2018,1806,24-03-2018,24-03-2018,Sweden
24-03-2018,1463,24-03-2018,24-03-2018,Uganda
24-03-2018,1470,24-03-2018,24-03-2018,Zambia
24-03-2018,1320,24-03-2018,24-03-2018,Mauritania
24-03-2018,1261,24-03-2018,24-03-2018,Botswana
24-03-2018,1049,24-03-2018,24-03-2018,Comoros
24-03-2018,1261,24-03-2018,24-03-2018,Angola
24-03-2018,1358,24-03-2018,24-03-2018,Madagascar
24-03-2018,1749,24-03-2018,24-03-2018,Korea Republic
24-03-2018,1389,24-03-2018,24-03-2018,Togo
24-03-2018,1696,24-03-2018,24-03-2018,Romania
24-03-2018,1397,24-03-2018,24-03-2018,Lithuania
24-03-2018,1514,24-03-2018,24-03-2018,New Zealand
24-03-2018,1262,24-03-2018,24-03-2018,Lesotho
24-03-2018,1517,24-03-2018,24-03-2018,Estonia
24-03-2018,1468,24-03-2018,24-03-2018,Zimbabwe
24-03-2018,1560,24-03-2018,24-03-2018,South Africa
24-03-2018,1076,24-03-2018,24-03-2018,São Tomé and Príncipe
24-03-2018,1872,24-03-2018,24-03-2018,Chile
24-03-2018,1479,24-03-2018,24-03-2018,Armenia
25-03-2018,1136,25-03-2018,25-03-2018,Barbados
25-03-2018,1393,25-03-2018,25-03-2018,Congo
25-03-2018,1439,25-03-2018,25-03-2018,Gabon
25-03-2018,1293,25-03-2018,25-03-2018,Faroe Islands
25-03-2018,1257,25-03-2018,25-03-2018,Dominican Republic
25-03-2018,1762,25-03-2018,25-03-2018,Slovakia
25-03-2018,1298,25-03-2018,25-03-2018,Cuba
25-03-2018,1430,25-03-2018,25-03-2018,Trin & Tobago
25-03-2018,1655,25-03-2018,25-03-2018,Cameroon
25-03-2018,1219,25-03-2018,25-03-2018,Antigua and Barbuda
25-03-2018,1343,25-03-2018,25-03-2018,Latvia
25-03-2018,1531,25-03-2018,25-03-2018,UAE
25-03-2018,1143,25-03-2018,25-03-2018,Liechtenstein
25-03-2018,1277,25-03-2018,25-03-2018,Guinea-Bissau
25-03-2018,1192,25-03-2018,25-03-2018,Bermuda
25-03-2018,1396,25-03-2018,25-03-2018,Thailand
25-03-2018,1277,25-03-2018,25-03-2018,Nicaragua
25-03-2018,1422,25-03-2018,25-03-2018,Martinique
25-03-2018,1405,25-03-2018,25-03-2018,Kuwait
25-03-2018,1561,25-03-2018,25-03-2018,Jamaica
25-03-2018,1094,25-03-2018,25-03-2018,Gibraltar
25-03-2018,1248,25-03-2018,25-03-2018,Saint Kitts and Nevis
26-03-2018,1614,26-03-2018,26-03-2018,Norway
26-03-2018,1354,26-03-2018,26-03-2018,Kazakhstan
26-03-2018,1974,26-03-2018,26-03-2018,Portugal
26-03-2018,1682,26-03-2018,26-03-2018,Bolivia
26-03-2018,1202,26-03-2018,26-03-2018,Malta
26-03-2018,1775,26-03-2018,26-03-2018,Wales
26-03-2018,1890,26-03-2018,26-03-2018,Uruguay
26-03-2018,1906,26-03-2018,26-03-2018,Netherlands
26-03-2018,1293,26-03-2018,26-03-2018,Curaçao
26-03-2018,1520,26-03-2018,26-03-2018,China PR
26-03-2018,1614,26-03-2018,26-03-2018,Bulgaria
26-03-2018,1596,26-03-2018,26-03-2018,Albania
26-03-2018,1722,26-03-2018,26-03-2018,Czech Republic
26-03-2018,1604,26-03-2018,26-03-2018,Finland
27-03-2018,1392,27-03-2018,31-03-2018,Azerbaijan
27-03-2018,1713,27-03-2018,31-03-2018,Australia
27-03-2018,1464,27-03-2018,31-03-2018,Armenia
27-03-2018,1155,27-03-2018,31-03-2018,Afghanistan
27-03-2018,1788,27-03-2018,31-03-2018,Iceland
27-03-2018,896,27-03-2018,31-03-2018,Nepal
27-03-2018,805,27-03-2018,31-03-2018,Bangladesh
27-03-2018,1149,27-03-2018,31-03-2018,India
27-03-2018,1587,27-03-2018,31-03-2018,Burkina Faso
27-03-2018,1285,27-03-2018,31-03-2018,Vietnam
27-03-2018,1324,27-03-2018,31-03-2018,Moldova
27-03-2018,1607,27-03-2018,31-03-2018,Syria
27-03-2018,1538,27-03-2018,31-03-2018,Algeria
27-03-2018,1719,27-03-2018,31-03-2018,Scotland
27-03-2018,1645,27-03-2018,31-03-2018,Egypt
27-03-2018,2130,27-03-2018,31-03-2018,Brazil
27-03-2018,1051,27-03-2018,31-03-2018,Malaysia
27-03-2018,1505,27-03-2018,31-03-2018,Estonia
27-03-2018,1874,27-03-2018,31-03-2018,Chile
27-03-2018,1859,27-03-2018,31-03-2018,Mexico
27-03-2018,1376,27-03-2018,31-03-2018,Kenya
27-03-2018,1747,27-03-2018,31-03-2018,Senegal
27-03-2018,1561,27-03-2018,31-03-2018,Saudi Arabia
27-03-2018,1237,27-03-2018,31-03-2018,Turkmenistan
27-03-2018,1517,27-03-2018,31-03-2018,Macedonia
27-03-2018,1934,27-03-2018,31-03-2018,Colombia
27-03-2018,1412,27-03-2018,31-03-2018,Lithuania
27-03-2018,818,27-03-2018,31-03-2018,Cambodia
27-03-2018,1898,27-03-2018,31-03-2018,Italy
27-03-2018,1730,27-03-2018,31-03-2018,Bosnia and Herzegovina
27-03-2018,1725,27-03-2018,31-03-2018,Austria
27-03-2018,1075,27-03-2018,31-03-2018,Mauritius
27-03-2018,1746,27-03-2018,31-03-2018,Paraguay
27-03-2018,1692,27-03-2018,31-03-2018,Japan
27-03-2018,1310,27-03-2018,31-03-2018,Malawi
27-03-2018,1744,27-03-2018,31-03-2018,Costa Rica
27-03-2018,1583,27-03-2018,31-03-2018,Democratic Republic of Congo
27-03-2018,1043,27-03-2018,31-03-2018,Singapore
27-03-2018,1662,27-03-2018,31-03-2018,Panama
27-03-2018,1984,27-03-2018,31-03-2018,Argentina
27-03-2018,1530,27-03-2018,31-03-2018,Belarus
27-03-2018,1290,27-03-2018,31-03-2018,Swaziland
27-03-2018,585,27-03-2018,31-03-2018,Bhutan
27-03-2018,1702,27-03-2018,31-03-2018,Nigeria
27-03-2018,1796,27-03-2018,31-03-2018,Sweden
27-03-2018,1744,27-03-2018,31-03-2018,Korea Republic
27-03-2018,1196,27-03-2018,31-03-2018,Tajikistan
27-03-2018,1415,27-03-2018,31-03-2018,Bahrain
27-03-2018,1395,27-03-2018,31-03-2018,Palestine
27-03-2018,1183,27-03-2018,31-03-2018,Hong Kong
27-03-2018,1258,27-03-2018,31-03-2018,Lesotho
27-03-2018,674,27-03-2018,31-03-2018,Macao
27-03-2018,1606,27-03-2018,31-03-2018,Uzbekistan
27-03-2018,1720,27-03-2018,31-03-2018,Turkey
27-03-2018,1983,27-03-2018,31-03-2018,France
27-03-2018,1930,27-03-2018,31-03-2018,Belgium
27-03-2018,1312,27-03-2018,31-03-2018,Central African Republic
27-03-2018,1853,27-03-2018,31-03-2018,Croatia
27-03-2018,1843,27-03-2018,31-03-2018,Denmark
27-03-2018,1244,27-03-2018,31-03-2018,Kyrgyzstan
27-03-2018,769,27-03-2018,31-03-2018,Laos
27-03-2018,1453,27-03-2018,31-03-2018,Lebanon
27-03-2018,1325,27-03-2018,31-03-2018,Luxembourg
27-03-2018,942,27-03-2018,31-03-2018,Maldives
27-03-2018,658,27-03-2018,31-03-2018,Mongolia
27-03-2018,1611,27-03-2018,31-03-2018,Montenegro
27-03-2018,1194,27-03-2018,31-03-2018,Yemen
27-03-2018,1754,27-03-2018,31-03-2018,United States
27-03-2018,1742,27-03-2018,31-03-2018,Ukraine
27-03-2018,1457,27-03-2018,31-03-2018,Uganda
27-03-2018,1648,27-03-2018,31-03-2018,Tunisia
27-03-2018,1404,27-03-2018,31-03-2018,Kosovo
27-03-2018,1319,27-03-2018,31-03-2018,Tanzania
27-03-2018,1879,27-03-2018,31-03-2018,Switzerland
27-03-2018,2048,27-03-2018,31-03-2018,Spain
27-03-2018,1606,27-03-2018,31-03-2018,Slovenia
27-03-2018,946,27-03-2018,31-03-2018,Seychelles
27-03-2018,1771,27-03-2018,31-03-2018,Serbia
27-03-2018,1685,27-03-2018,31-03-2018,Russia
27-03-2018,1706,27-03-2018,31-03-2018,Romania
27-03-2018,1831,27-03-2018,31-03-2018,Poland
27-03-2018,1186,27-03-2018,31-03-2018,Philippines
27-03-2018,1907,27-03-2018,31-03-2018,Peru
27-03-2018,1537,27-03-2018,31-03-2018,Oman
27-03-2018,1456,27-03-2018,31-03-2018,North Korea
27-03-2018,1382,27-03-2018,31-03-2018,Namibia
27-03-2018,996,27-03-2018,31-03-2018,Taiwan
27-03-2018,1069,27-03-2018,31-03-2018,Myanmar
27-03-2018,1711,27-03-2018,31-03-2018,Morocco
27-03-2018,1557,27-03-2018,31-03-2018,Iran
27-03-2018,1941,27-03-2018,31-03-2018,England
27-03-2018,1504,27-03-2018,31-03-2018,Georgia
27-03-2018,2092,27-03-2018,31-03-2018,Germany
27-03-2018,1584,27-03-2018,31-03-2018,Hungary
27-03-2018,1794,27-03-2018,31-03-2018,Iran
27-03-2018,1664,27-03-2018,31-03-2018,Greece
27-03-2018,1465,27-03-2018,31-03-2018,Jordan
27-03-2018,1600,27-03-2018,31-03-2018,Ivory coast
01-04-2018,1212,01-04-2018,16-04-2018,Antigua and Barbuda
01-04-2018,1053,01-04-2018,16-04-2018,Malaysia
01-04-2018,1011,01-04-2018,16-04-2018,Dominica
01-04-2018,583,01-04-2018,16-04-2018,Bhutan
17-04-2018,1424,17-04-2018,17-04-2018,Trin & Tobago
17-04-2018,1668,17-04-2018,17-04-2018,Panama
18-04-2018,1278,18-04-2018,18-04-2018,Botswana
18-04-2018,1451,18-04-2018,18-04-2018,Zimbabwe
19-04-2018,1372,19-04-2018,25-04-2018,Namibia
19-04-2018,1300,19-04-2018,25-04-2018,Eswatini
26-04-2018,1241,26-04-2018,28-04-2018,Saint Kitts and Nevis
26-04-2018,1568,26-04-2018,28-04-2018,Jamaica
29-04-2018,1206,29-04-2018,07-05-2018,Antigua and Barbuda
29-04-2018,713,29-04-2018,07-05-2018,Saint Barthélemy
29-04-2018,849,29-04-2018,07-05-2018,Saint Martin
29-04-2018,1574,29-04-2018,07-05-2018,Jamaica
08-05-2018,1401,08-05-2018,08-05-2018,Palestine
08-05-2018,1551,08-05-2018,08-05-2018,Iran
09-05-2018,1575,09-05-2018,10-05-2018,Saudi Arabia
09-05-2018,1524,09-05-2018,10-05-2018,Algeria
11-05-2018,1416,11-05-2018,14-05-2018,Kuwait
11-05-2018,1390,11-05-2018,14-05-2018,Palestine
15-05-2018,1645,15-05-2018,18-05-2018,Greece
15-05-2018,1594,15-05-2018,18-05-2018,Saudi Arabia
19-05-2018,1603,19-05-2018,19-05-2018,Uzbekistan
19-05-2018,1797,19-05-2018,19-05-2018,Iran
20-05-2018,1403,20-05-2018,24-05-2018,Cyprus
20-05-2018,1475,20-05-2018,24-05-2018,Jordan
25-05-2018,1420,25-05-2018,25-05-2018,Kuwait
25-05-2018,1361,25-05-2018,25-05-2018,Kenya
25-05-2018,1315,25-05-2018,25-05-2018,Eswatini
25-05-2018,1641,25-05-2018,25-05-2018,Egypt
26-05-2018,1521,26-05-2018,26-05-2018,China PR
26-05-2018,731,26-05-2018,26-05-2018,Saint Barthélemy
26-05-2018,869,26-05-2018,26-05-2018,Sint Maarten
26-05-2018,1068,26-05-2018,26-05-2018,Myanmar
27-05-2018,1292,27-05-2018,27-05-2018,Niger
27-05-2018,1376,27-05-2018,27-05-2018,Madagascar
27-05-2018,1599,27-05-2018,27-05-2018,Burkina Faso
27-05-2018,1043,27-05-2018,27-05-2018,Comoros
27-05-2018,1643,27-05-2018,27-05-2018,Cameroon
27-05-2018,952,27-05-2018,27-05-2018,Seychelles
27-05-2018,1297,27-05-2018,27-05-2018,Mozambique
27-05-2018,1316,27-05-2018,27-05-2018,Central African Republic
28-05-2018,1656,28-05-2018,28-05-2018,Tunisia
28-05-2018,1589,28-05-2018,28-05-2018,Democratic Republic of Congo
28-05-2018,1724,28-05-2018,28-05-2018,Bosnia and Herzegovina
28-05-2018,1297,28-05-2018,28-05-2018,Botswana
28-05-2018,1986,28-05-2018,28-05-2018,France
28-05-2018,1901,28-05-2018,28-05-2018,Italy
28-05-2018,1367,28-05-2018,28-05-2018,Kenya
28-05-2018,1107,28-05-2018,28-05-2018,Mauritius
28-05-2018,1857,28-05-2018,28-05-2018,Mexico
28-05-2018,1696,28-05-2018,28-05-2018,Nigeria
28-05-2018,1966,28-05-2018,28-05-2018,Portugal
28-05-2018,1729,28-05-2018,28-05-2018,Turkey
28-05-2018,1673,28-05-2018,28-05-2018,Bolivia
28-05-2018,1763,28-05-2018,28-05-2018,United States
28-05-2018,1777,28-05-2018,28-05-2018,Wales
28-05-2018,1278,28-05-2018,28-05-2018,Malawi
28-05-2018,1788,28-05-2018,28-05-2018,Iran
28-05-2018,1326,28-05-2018,28-05-2018,Equatorial Guinea
28-05-2018,1591,28-05-2018,28-05-2018,Saudi Arabia
28-05-2018,1720,28-05-2018,28-05-2018,Rep. of Ireland
28-05-2018,1242,28-05-2018,28-05-2018,Angola
28-05-2018,1617,28-05-2018,28-05-2018,Montenegro
28-05-2018,1750,28-05-2018,28-05-2018,Korea Republic
28-05-2018,1604,28-05-2018,28-05-2018,Honduras
29-05-2018,1310,29-05-2018,29-05-2018,Mozambique
29-05-2018,1458,29-05-2018,29-05-2018,Armenia
29-05-2018,1666,29-05-2018,29-05-2018,Panama
29-05-2018,1359,29-05-2018,29-05-2018,Madagascar
29-05-2018,1430,29-05-2018,29-05-2018,Kosovo
29-05-2018,1399,29-05-2018,29-05-2018,Azerbaijan
29-05-2018,1985,29-05-2018,29-05-2018,Argentina
29-05-2018,1492,29-05-2018,29-05-2018,Haiti
29-05-2018,1912,29-05-2018,29-05-2018,Peru
29-05-2018,1237,29-05-2018,29-05-2018,Kyrgyzstan
29-05-2018,1570,29-05-2018,29-05-2018,Albania
29-05-2018,969,29-05-2018,29-05-2018,Seychelles
29-05-2018,1030,29-05-2018,29-05-2018,Comoros
29-05-2018,1686,29-05-2018,29-05-2018,Northern Ireland
29-05-2018,1714,29-05-2018,29-05-2018,Scotland
29-05-2018,1208,29-05-2018,29-05-2018,Malta
30-05-2018,1670,30-05-2018,30-05-2018,Japan
30-05-2018,1337,30-05-2018,30-05-2018,Central African Republic
30-05-2018,1296,30-05-2018,30-05-2018,Botswana
30-05-2018,1731,30-05-2018,30-05-2018,Austria
30-05-2018,1255,30-05-2018,30-05-2018,Angola
30-05-2018,1516,30-05-2018,30-05-2018,Estonia
30-05-2018,1436,30-05-2018,30-05-2018,Uganda
30-05-2018,1679,30-05-2018,30-05-2018,Russia
30-05-2018,1639,30-05-2018,30-05-2018,Ghana
30-05-2018,1279,30-05-2018,30-05-2018,Malawi
30-05-2018,1401,30-05-2018,30-05-2018,Lithuania
30-05-2018,1094,30-05-2018,30-05-2018,Mauritius
31-05-2018,1905,31-05-2018,31-05-2018,Netherlands
31-05-2018,964,31-05-2018,31-05-2018,Seychelles
31-05-2018,1741,31-05-2018,31-05-2018,Ukraine
31-05-2018,1025,31-05-2018,31-05-2018,Comoros
31-05-2018,1712,31-05-2018,31-05-2018,Morocco
31-05-2018,1315,31-05-2018,31-05-2018,Mozambique
31-05-2018,1720,31-05-2018,31-05-2018,Romania
31-05-2018,1763,31-05-2018,31-05-2018,Slovakia
31-05-2018,1332,31-05-2018,31-05-2018,Luxembourg
31-05-2018,1364,31-05-2018,31-05-2018,Madagascar
31-05-2018,1860,31-05-2018,31-05-2018,Chile
31-05-2018,1740,31-05-2018,31-05-2018,Senegal
01-06-2018,1256,01-06-2018,01-06-2018,Angola
01-06-2018,1730,01-06-2018,01-06-2018,Korea Republic
01-06-2018,1744,01-06-2018,01-06-2018,Bosnia and Herzegovina
01-06-2018,985,01-06-2018,01-06-2018,Taiwan
01-06-2018,1205,01-06-2018,01-06-2018,Malta
01-06-2018,1893,01-06-2018,01-06-2018,Italy
01-06-2018,1648,01-06-2018,01-06-2018,Egypt
01-06-2018,1074,01-06-2018,01-06-2018,Mauritius
01-06-2018,1703,01-06-2018,01-06-2018,Czech Republic
01-06-2018,1278,01-06-2018,01-06-2018,Malawi
01-06-2018,1444,01-06-2018,01-06-2018,Cape Verde
01-06-2018,1509,01-06-2018,01-06-2018,Algeria
01-06-2018,1316,01-06-2018,01-06-2018,Botswana
01-06-2018,1927,01-06-2018,01-06-2018,Colombia
01-06-2018,1994,01-06-2018,01-06-2018,France
01-06-2018,1507,01-06-2018,01-06-2018,Georgia
01-06-2018,1160,01-06-2018,01-06-2018,India
01-06-2018,1658,01-06-2018,01-06-2018,Tunisia
01-06-2018,1732,01-06-2018,01-06-2018,Australia
01-06-2018,1727,01-06-2018,01-06-2018,Turkey
02-06-2018,1471,02-06-2018,02-06-2018,El Salvador
02-06-2018,1309,02-06-2018,02-06-2018,Niger
02-06-2018,1457,02-06-2018,02-06-2018,Northern Cyprus
02-06-2018,1794,02-06-2018,02-06-2018,Sweden
02-06-2018,1382,02-06-2018,02-06-2018,Thailand
02-06-2018,1861,02-06-2018,02-06-2018,Mexico
02-06-2018,1281,02-06-2018,02-06-2018,Lesotho
02-06-2018,1361,02-06-2018,02-06-2018,Latvia
02-06-2018,1388,02-06-2018,02-06-2018,Kenya
02-06-2018,1928,02-06-2018,02-06-2018,Belgium
02-06-2018,1728,02-06-2018,02-06-2018,Rep. of Ireland
02-06-2018,1771,02-06-2018,02-06-2018,Iceland
02-06-2018,1943,02-06-2018,02-06-2018,England
02-06-2018,2076,02-06-2018,02-06-2018,Germany
02-06-2018,1747,02-06-2018,02-06-2018,Austria
02-06-2018,1377,02-06-2018,02-06-2018,Namibia
02-06-2018,1597,02-06-2018,02-06-2018,Montenegro
02-06-2018,1419,02-06-2018,02-06-2018,Uganda
02-06-2018,1493,02-06-2018,02-06-2018,New Zealand
02-06-2018,1590,02-06-2018,02-06-2018,Honduras
02-06-2018,1626,02-06-2018,02-06-2018,Slovenia
02-06-2018,1845,02-06-2018,02-06-2018,Denmark
02-06-2018,1755,02-06-2018,02-06-2018,United States
02-06-2018,1498,02-06-2018,02-06-2018,Estonia
02-06-2018,1968,02-06-2018,02-06-2018,Portugal
02-06-2018,1631,02-06-2018,02-06-2018,Norway
02-06-2018,1465,02-06-2018,02-06-2018,Zambia
02-06-2018,1694,02-06-2018,02-06-2018,Nigeria
02-06-2018,630,02-06-2018,02-06-2018,Tibet
02-06-2018,1710,02-06-2018,02-06-2018,Scotland
02-06-2018,1292,02-06-2018,02-06-2018,Eswatini
02-06-2018,1535,02-06-2018,02-06-2018,China PR
03-06-2018,1885,03-06-2018,03-06-2018,Switzerland
03-06-2018,1134,03-06-2018,03-06-2018,Barbados
03-06-2018,2135,03-06-2018,03-06-2018,Brazil
03-06-2018,1378,03-06-2018,03-06-2018,Madagascar
03-06-2018,1848,03-06-2018,03-06-2018,Croatia
03-06-2018,1754,03-06-2018,03-06-2018,Costa Rica
